month,region,product,units,unit_price
2024-01,North,Widget A,337,21.14
2024-01,North,Widget B,389,44.88
2024-01,North,Gadget X,124,25.23
2024-01,North,Gadget Y,62,103.12
2024-01,North,Tool Z,466,84.08
2024-01,South,Widget A,312,66.18
2024-01,South,Widget B,25,18.59
2024-01,South,Gadget X,129,78.28
2024-01,South,Gadget Y,23,86.38
2024-01,South,Tool Z,376,99.23
2024-01,East,Widget A,289,65.83
2024-01,East,Widget B,239,90.44
2024-01,East,Gadget X,424,131.05
2024-01,East,Gadget Y,398,121.84
2024-01,East,Tool Z,367,66.28
2024-01,West,Widget A,152,27.54
2024-01,West,Widget B,500,115.71
2024-01,West,Gadget X,62,18.45
2024-01,West,Gadget Y,59,57.05
2024-01,West,Tool Z,186,92.54
2024-02,North,Widget A,423,11.3
2024-02,North,Widget B,245,82.75
2024-02,North,Gadget X,482,59.89
2024-02,North,Gadget Y,292,47.51
2024-02,North,Tool Z,331,94.69
2024-02,South,Widget A,451,57.44
2024-02,South,Widget B,108,107.16
2024-02,South,Gadget X,33,100.88
2024-02,South,Gadget Y,405,46.96
2024-02,South,Tool Z,50,129.02
2024-02,East,Widget A,453,19.65
2024-02,East,Widget B,152,70.74
2024-02,East,Gadget X,437,57.9
2024-02,East,Gadget Y,199,56.51
2024-02,East,Tool Z,353,43.71
2024-02,West,Widget A,489,104.11
2024-02,West,Widget B,46,93.32
2024-02,West,Gadget X,97,82.45
2024-02,West,Gadget Y,135,28.69
2024-02,West,Tool Z,204,44.14
2024-03,North,Widget A,483,97.8
2024-03,North,Widget B,295,36.84
2024-03,North,Gadget X,176,127.21
2024-03,North,Gadget Y,407,13.11
2024-03,North,Tool Z,430,9.65
2024-03,South,Widget A,171,63.17
2024-03,South,Widget B,43,35.59
2024-03,South,Gadget X,492,87.24
2024-03,South,Gadget Y,377,50.63
2024-03,South,Tool Z,345,77.39
2024-03,East,Widget A,462,137.61
2024-03,East,Widget B,244,25.72
2024-03,East,Gadget X,81,40.76
2024-03,East,Gadget Y,297,83.15
2024-03,East,Tool Z,392,89.76
2024-03,West,Widget A,469,89.61
2024-03,West,Widget B,195,36.8
2024-03,West,Gadget X,80,78.88
2024-03,West,Gadget Y,56,114.59
2024-03,West,Tool Z,450,20.9
2024-04,North,Widget A,331,28.2
2024-04,North,Widget B,358,66.21
2024-04,North,Gadget X,42,60.79
2024-04,North,Gadget Y,315,149.44
2024-04,North,Tool Z,280,41.46
2024-04,South,Widget A,293,129.81
2024-04,South,Widget B,15,103.64
2024-04,South,Gadget X,68,103.85
2024-04,South,Gadget Y,284,113.88
2024-04,South,Tool Z,403,97.94
2024-04,East,Widget A,67,47.56
2024-04,East,Widget B,90,70.79
2024-04,East,Gadget X,498,109.7
2024-04,East,Gadget Y,378,43.19
2024-04,East,Tool Z,266,115.48
2024-04,West,Widget A,269,137.33
2024-04,West,Widget B,455,95.67
2024-04,West,Gadget X,440,97.65
2024-04,West,Gadget Y,321,33.84
2024-04,West,Tool Z,201,115.56
2024-05,North,Widget A,286,143.26
2024-05,North,Widget B,482,81.9
2024-05,North,Gadget X,10,91.85
2024-05,North,Gadget Y,260,7.82
2024-05,North,Tool Z,485,57.63
2024-05,South,Widget A,435,121.98
2024-05,South,Widget B,132,13.4
2024-05,South,Gadget X,459,87.27
2024-05,South,Gadget Y,50,17.42
2024-05,South,Tool Z,258,123.32
2024-05,East,Widget A,399,82.24
2024-05,East,Widget B,74,23.62
2024-05,East,Gadget X,253,142.29
2024-05,East,Gadget Y,94,43.43
2024-05,East,Tool Z,456,92.96
2024-05,West,Widget A,118,139.69
2024-05,West,Widget B,396,110.84
2024-05,West,Gadget X,112,108.38
2024-05,West,Gadget Y,214,149.3
2024-05,West,Tool Z,342,59.15
2024-06,North,Widget A,470,80.05
2024-06,North,Widget B,71,40.95
2024-06,North,Gadget X,42,54.02
2024-06,North,Gadget Y,311,85.32
2024-06,North,Tool Z,311,36.93
2024-06,South,Widget A,46,107.64
2024-06,South,Widget B,40,38.2
2024-06,South,Gadget X,473,9.55
2024-06,South,Gadget Y,179,15.27
2024-06,South,Tool Z,131,45.38
2024-06,East,Widget A,258,36.06
2024-06,East,Widget B,77,109.89
2024-06,East,Gadget X,461,87.8
2024-06,East,Gadget Y,252,40.23
2024-06,East,Tool Z,252,122.09
2024-06,West,Widget A,107,18.68
2024-06,West,Widget B,347,67.5
2024-06,West,Gadget X,226,64.61
2024-06,West,Gadget Y,452,110.72
2024-06,West,Tool Z,354,99.75
2024-07,North,Widget A,340,19.27
2024-07,North,Widget B,216,110.59
2024-07,North,Gadget X,419,129.94
2024-07,North,Gadget Y,137,32.78
2024-07,North,Tool Z,284,70.05
2024-07,South,Widget A,226,31.61
2024-07,South,Widget B,246,41.22
2024-07,South,Gadget X,482,15.93
2024-07,South,Gadget Y,423,129.9
2024-07,South,Tool Z,291,19.2
2024-07,East,Widget A,343,149.9
2024-07,East,Widget B,438,7.14
2024-07,East,Gadget X,57,139.32
2024-07,East,Gadget Y,444,39.28
2024-07,East,Tool Z,218,75.42
2024-07,West,Widget A,119,130.37
2024-07,West,Widget B,472,13.5
2024-07,West,Gadget X,204,5.31
2024-07,West,Gadget Y,209,43.45
2024-07,West,Tool Z,411,118.84
2024-08,North,Widget A,156,66.34
2024-08,North,Widget B,500,110.92
2024-08,North,Gadget X,411,85.59
2024-08,North,Gadget Y,377,75.57
2024-08,North,Tool Z,107,48.02
2024-08,South,Widget A,39,88.98
2024-08,South,Widget B,287,13.84
2024-08,South,Gadget X,170,13.29
2024-08,South,Gadget Y,309,74.13
2024-08,South,Tool Z,480,128.64
2024-08,East,Widget A,90,13.25
2024-08,East,Widget B,270,16.62
2024-08,East,Gadget X,105,14.94
2024-08,East,Gadget Y,44,102.91
2024-08,East,Tool Z,130,63.55
2024-08,West,Widget A,492,134.09
2024-08,West,Widget B,136,88.94
2024-08,West,Gadget X,30,94.81
2024-08,West,Gadget Y,224,100.32
2024-08,West,Tool Z,299,80.8
2024-09,North,Widget A,488,42.81
2024-09,North,Widget B,352,108.85
2024-09,North,Gadget X,132,43.51
2024-09,North,Gadget Y,77,102.4
2024-09,North,Tool Z,163,71.3
